,track_n,track_title,album_name,lyric,lyric2
0,1,Tim McGraw,Taylor Swift,said way blue eye shined put georgia star shame night said lie boy chevy truck tendency gettin stuck back road night wa right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think september saw month tear thankin god werent see like box beneath bed letter never read three summer back it hard find little bittersweet lookin back it nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think back first time since standin street there letter left doorstep first thing read think tim mcgraw hope think favorite song someday turn radio hope take back place think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think think said way blue eye shined put georgia star shame night said lie,said way blue eye shined put georgia star shame night said lie boy chevy truck tendency gettin stuck back road night wa right beside summer long time woke find summer gone think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think september saw month tear thankin god werent see like box beneath bed letter never read three summer back it hard find little bittersweet lookin back it nice believe think tim mcgraw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think back first time since standin street there letter left doorstep first thing read think tim mcgraw hope think favorite song someday turn radio hope take back place think happiness hope think little black dress think head chest old faded blue jean think tim mcgraw hope think think said way blue eye shined put georgia star shame night said lie
1,2,Picture To Burn,Taylor Swift,state obvious get perfect fantasy realize love ever love go tell friend obsessive crazy fine tell mine gay way hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn there time tear sitting planning revenge there nothing stopping going best friend come around saying sorry daddy gonna show sorry cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn missing better keep cause coming back around would bad health cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn burn burn burn baby burn another picture burn baby burn,state obvious get perfect fantasy realize love ever love go tell friend obsessive crazy fine tell mine gay way hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn there time tear sitting planning revenge there nothing stopping going best friend come around saying sorry daddy gonna show sorry cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn missing better keep cause coming back around would bad health cause hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive redneck heartbreak who really bad lying watch strike match wasted time a far a concerned another picture burn burn burn burn baby burn another picture burn baby burn
2,3,Teardrops On My Guitar,Taylor Swift,drew look fake smile see want needing everything bet shes beautiful girl talk shes got everything live without drew talk laugh cause it funny even see anyone he say he love he finally got right wonder know he think night he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drew walk tell breathe go perfectly kind flawless wish shed better hold tight give love look beautiful eye know shes lucky cause he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drive home alone a turn light put picture maybe get sleep tonight cause he reason teardrop guitar one who got enough break heart he song car keep singing know he time taken there never enough he need fall drew look fake smile see,drew look fake smile see want needing everything bet shes beautiful girl talk shes got everything live without drew talk laugh cause it funny even see anyone he say he love he finally got right wonder know he think night he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drew walk tell breathe go perfectly kind flawless wish shed better hold tight give love look beautiful eye know shes lucky cause he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drive home alone a turn light put picture maybe get sleep tonight cause he reason teardrop guitar one who got enough break heart he song car keep singing know he time taken there never enough he need fall drew look fake smile see
3,4,A Place In This World,Taylor Swift,know want ask cause still trying figure know whats road walking trying see rain coming even though one feel way alone know strong wrong life go girl trying find place world got radio old blue jean wearing heart sleeve feeling lucky today got sunshine tell need tomorrow mystery ok alone know strong wrong life go girl trying find place world maybe girl mission ready fly alone know strong wrong life go alone know girl trying find place world girl girl girl,know want ask cause still trying figure know whats road walking trying see rain coming even though one feel way alone know strong wrong life go girl trying find place world got radio old blue jean wearing heart sleeve feeling lucky today got sunshine tell need tomorrow mystery ok alone know strong wrong life go girl trying find place world maybe girl mission ready fly alone know strong wrong life go alone know girl trying find place world girl girl girl
4,5,Cold As You,Taylor Swift,way coming easily take take best start fight cause need feel something want cause wanted shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a put wall paint shade gray stood loving wished away come away great little story mess dreamer nerve adore shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a never give damn thing honey cried cried know told nobody died died died shame rainy ending given perfect day every smile fake condescending counting scar made sitting thinking never anywhere cold a,way coming easily take take best start fight cause need feel something want cause wanted shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a put wall paint shade gray stood loving wished away come away great little story mess dreamer nerve adore shame rainy ending given perfect day walk away use defending word never say sitting thinking never anywhere cold a never give damn thing honey cried cried know told nobody died died died shame rainy ending given perfect day every smile fake condescending counting scar made sitting thinking never anywhere cold a
5,6,The Outside,Taylor Swift,know would find went looking reason know read line baby got nowhere go tried take road le traveled nothing seems work first time right ever try better nobody ever let still see best view outside looking lot lonely place never outside saw never knew would give part part it late see helped wanted one notice it late anything ever try better nobody ever let still see best view outside looking lot lonely place never outside ever try better nobody ever let still see best view outside looking lot lonely place never outside,know would find went looking reason know read line baby got nowhere go tried take road le traveled nothing seems work first time right ever try better nobody ever let still see best view outside looking lot lonely place never outside saw never knew would give part part it late see helped wanted one notice it late anything ever try better nobody ever let still see best view outside looking lot lonely place never outside ever try better nobody ever let still see best view outside looking lot lonely place never outside
6,7,Tied Together With A Smile,Taylor Swift,seems one see beauty face mirror looking back walk around thinking pretty true cause know hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone guess it true love wa wanted cause giving away like it extra change hoping end pocket leaf like penny rain cause it price pay it price pay hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone tied together smile coming undone goodbye baby smile baby baby,seems one see beauty face mirror looking back walk around thinking pretty true cause know hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone guess it true love wa wanted cause giving away like it extra change hoping end pocket leaf like penny rain cause it price pay it price pay hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone hold baby losing water high jumping letting go one know cry tell anyone might golden one tied together smile coming undone tied together smile coming undone goodbye baby smile baby baby
7,8,Stay Beautiful,Taylor Swift,corys eye like jungle smile it like radio whisper song window word nobody know there pretty girl every corner watch a he walking home saying doe know ever know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful cory find another way highlight day taking picture mind save rainy day it hard make conversation he taking breath away say hey way beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful story never get told daydream never get hold least know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back front door stay beautiful beautiful beautiful beautiful beautiful beautiful stay beautiful stay beautiful,corys eye like jungle smile it like radio whisper song window word nobody know there pretty girl every corner watch a he walking home saying doe know ever know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful cory find another way highlight day taking picture mind save rainy day it hard make conversation he taking breath away say hey way beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back door stay beautiful story never get told daydream never get hold least know beautiful every little piece love know really gonna someone ask anyone find everything looked hope life lead back front door stay beautiful beautiful beautiful beautiful beautiful beautiful stay beautiful stay beautiful
8,9,Should've Said No,Taylor Swift,it strange think song used sing smile flower everything gone yesterday found even looking feel wrong say take back given one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still see cry baby know right thing say honestly expect believe ever say past past need one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still resist go tell wa worth wa worth said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still,it strange think song used sing smile flower everything gone yesterday found even looking feel wrong say take back given one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still see cry baby know right thing say honestly expect believe ever say past past need one chance wa moment weakness said yes said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still resist go tell wa worth wa worth said gone home thought twice fore let go known word bout herd get back get back back mind asking begging forgiveness foot said baby might still
9,10,Mary’s Song (Oh My My My),Taylor Swift,said wa seven nine looked like star shined sky pretty light daddy used joke two u growing falling love mama smiled rolled eye said take back house backyard tree said beat bigger never never take back world wa one block wide dared kiss ran tried two kid well wa sixteen suddenly little girl used see eye still shined like pretty light daddy used joke two u never believed wed really fall love mama smiled rolled eye said take back creek bed turned two riding truck need next take back time first fight slamming door instead kissing goodnight stayed outside til morning light year gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mama cried said take home met many year well rock baby front porch time eightyseven eightynine still look like star shine sky,said wa seven nine looked like star shined sky pretty light daddy used joke two u growing falling love mama smiled rolled eye said take back house backyard tree said beat bigger never never take back world wa one block wide dared kiss ran tried two kid well wa sixteen suddenly little girl used see eye still shined like pretty light daddy used joke two u never believed wed really fall love mama smiled rolled eye said take back creek bed turned two riding truck need next take back time first fight slamming door instead kissing goodnight stayed outside til morning light year gone come around sitting favorite spot town looked got one knee take back time walked aisle whole town came mama cried said take home met many year well rock baby front porch time eightyseven eightynine still look like star shine sky
10,11,Our Song,Taylor Swift,wa ridin shotgun hair undone front seat car he got onehand feel steering wheel heart look around turn radio say baby something wrong say nothin wa thinkin song say song slamming screen door sneakin late tapping window phone talk real slow cause it late mama know song way laugh first date man kiss got home fore said amen asking god play wa walking front porch step everything day gone wrong trampled lost thrown away got hallway well way lovin bed almost notice rose note said song slamming screen door sneakin late tapping window phone talk real slow cause it late mama know song way laugh first date man kiss got home fore said amen asking god play heard every album listened radio waited somethin come along wa a good a song cause song slamming screen door sneakin late tappin window phone talk real slow cause it late mama know song way laugh first date man kiss got home fore said amen asking god play play wa ridin shotgun hair undone front seat car grabbed pen old napkin wrote song,wa ridin shotgun hair undone front seat car he got onehand feel steering wheel heart look around turn radio say baby something wrong say nothin wa thinkin song say song slamming screen door sneakin late tapping window phone talk real slow cause it late mama know song way laugh first date man kiss got home fore said amen asking god play wa walking front porch step everything day gone wrong trampled lost thrown away got hallway well way lovin bed almost notice rose note said song slamming screen door sneakin late tapping window phone talk real slow cause it late mama know song way laugh first date man kiss got home fore said amen asking god play heard every album listened radio waited somethin come along wa a good a song cause song slamming screen door sneakin late tappin window phone talk real slow cause it late mama know song way laugh first date man kiss got home fore said amen asking god play play wa ridin shotgun hair undone front seat car grabbed pen old napkin wrote song
11,12,I’m Only Me When I’m with You,Taylor Swift,friday night beneath star field behind yard painting picture sky sometimes say thing listen cricket sing everything need right side know everything wanna live without wanna fly still ground it like matter well drive crazy half time half tryna let know feel true smalltown boy girl living crazy world tryna figure true try hide tear secret deepest fear nobody get like know everything say live without wanna fly still ground it like matter well drive crazy half time half tryna let know feel true anybody else it hard tell wanna fly still ground it like matter well drive crazy half time half tryna let know feel true wanna well uhhuh,friday night beneath star field behind yard painting picture sky sometimes say thing listen cricket sing everything need right side know everything wanna live without wanna fly still ground it like matter well drive crazy half time half tryna let know feel true smalltown boy girl living crazy world tryna figure true try hide tear secret deepest fear nobody get like know everything say live without wanna fly still ground it like matter well drive crazy half time half tryna let know feel true anybody else it hard tell wanna fly still ground it like matter well drive crazy half time half tryna let know feel true wanna well uhhuh
12,13,Invisible,Taylor Swift,see way eye light smile shell never notice stop stare whenever walk see wanting way want everything wanna show even know shes never gonna love like want see right knew beautiful miracle unbelievable instead invisible there fire inside help shine shes never gonna see light matter think make think everything wanna show even know shes never gonna love like want see right knew beautiful miracle unbelievable instead invisible like shadow faded light invisible wanna open eye make realize wanna show even know baby let love let want see right knew beautiful miracle unbelievable instead invisible see way eye light smile,see way eye light smile shell never notice stop stare whenever walk see wanting way want everything wanna show even know shes never gonna love like want see right knew beautiful miracle unbelievable instead invisible there fire inside help shine shes never gonna see light matter think make think everything wanna show even know shes never gonna love like want see right knew beautiful miracle unbelievable instead invisible like shadow faded light invisible wanna open eye make realize wanna show even know baby let love let want see right knew beautiful miracle unbelievable instead invisible see way eye light smile
13,14,A Perfectly Good Heart,Taylor Swift,would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break perfectly good heart maybe seen sign read writing wall realized distance eye would one fall matter say still believe would walk away make sense would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break perfectly good heart it unbroken anymore get back way wa would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break would wanna break would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break perfectly good heart,would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break perfectly good heart maybe seen sign read writing wall realized distance eye would one fall matter say still believe would walk away make sense would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break perfectly good heart it unbroken anymore get back way wa would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break would wanna break would wanna break perfectly good heart would wanna take love tear apart would wanna make first scar would wanna break perfectly good heart
14,15,Teardrops on My Guitar (Pop Version),Taylor Swift,drew look fake smile see want need everything bet shes beautiful girl talk shes got everything live without drew talk laugh cause it funny even see anyone he say he love he finally got right wonder know he think night he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drew walk tell breathe go perfectly kind flawless wish better hold tight give love look beautiful eye know shes lucky cause he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drive home alone a turn light put picture maybe get sleep tonight cause he reason teardrop guitar one who got enough break heart he song car keep singing know he time taken there never enough he need fall drew look fake smile see,drew look fake smile see want need everything bet shes beautiful girl talk shes got everything live without drew talk laugh cause it funny even see anyone he say he love he finally got right wonder know he think night he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drew walk tell breathe go perfectly kind flawless wish better hold tight give love look beautiful eye know shes lucky cause he reason teardrop guitar thing keep wishing wishing star he song car keep singing know drive home alone a turn light put picture maybe get sleep tonight cause he reason teardrop guitar one who got enough break heart he song car keep singing know he time taken there never enough he need fall drew look fake smile see
15,1,Fearless (Taylor’s Version),Fearless (Taylor’s Version),there something bout way street look it rained there glow pavement walk car know wanna ask dance right middle parking lot driving road wonder know trying hard get caught cool run hand hair absentmindedly making want know get better take hand drag head first fearless know dance storm best dress fеarless baby drive slow til run road onеhorse town wanna stay right passenger seat put eye moment capture remember cause know get better take hand drag head first fearless know dance storm best dress fearless well stood doorway hand shake usually way pull little brave it first kiss it flawless really something it fearless cause know get better take hand drag head first fearless know dance storm best dress fearless cause know get better take hand drag head first fearless know dance storm best dress fearless,there something bout way street look it rained there glow pavement walk car know wanna ask dance right middle parking lot driving road wonder know trying hard get caught cool run hand hair absentmindedly making want know get better take hand drag head first fearless know dance storm best dress fеarless baby drive slow til run road onеhorse town wanna stay right passenger seat put eye moment capture remember cause know get better take hand drag head first fearless know dance storm best dress fearless well stood doorway hand shake usually way pull little brave it first kiss it flawless really something it fearless cause know get better take hand drag head first fearless know dance storm best dress fearless cause know get better take hand drag head first fearless know dance storm best dress fearless
16,2,Fifteen (Taylor’s Version),Fearless (Taylor’s Version),take deep breath walk door it mornin first day say hi friend seen try stay everybodys way it freshman year gonna next four year town hopin one senior boy wink say know havent seen around cause fifteen somebody tell love gonna believe fifteen feelin like there nothin figure well count ten take life know gonna fifteen sit class next redhead named abigail soon enough best friend laughin girl think cool well outta a soon a first date he got car feelin like flyin mama waitin thinkin he one dancin round room night end night end cause fifteen somebody tell love gonna believe fifteen first kiss make head spin around well life thing greater datin boy football team know fifteen wanted wa wanted wish go back tell know back swore wa gonna marry someday realized bigger dream mine abigail gave everything boy changed mind cried cause fifteen somebody tell love gonna believe fifteen forget look fall found time heal anything might find supposed know wa supposed fifteen first day take deep breath girl take deep breath a walk door,take deep breath walk door it mornin first day say hi friend seen try stay everybodys way it freshman year gonna next four year town hopin one senior boy wink say know havent seen around cause fifteen somebody tell love gonna believe fifteen feelin like there nothin figure well count ten take life know gonna fifteen sit class next redhead named abigail soon enough best friend laughin girl think cool well outta a soon a first date he got car feelin like flyin mama waitin thinkin he one dancin round room night end night end cause fifteen somebody tell love gonna believe fifteen first kiss make head spin around well life thing greater datin boy football team know fifteen wanted wa wanted wish go back tell know back swore wa gonna marry someday realized bigger dream mine abigail gave everything boy changed mind cried cause fifteen somebody tell love gonna believe fifteen forget look fall found time heal anything might find supposed know wa supposed fifteen first day take deep breath girl take deep breath a walk door
17,3,Love Story (Taylor’s Version),Fearless (Taylor’s Version),young first saw close eye flashback start standing balcony summer air see light see party ball gown see make way crowd say hello little know romeo throwing pebble daddy said stay away juliet wa cry staircase begging please go said romeo take somewhere alone waiting there left run prince princess it love story baby say yes sneak garden see keep quiet cause dead knew close eye escape town little cause romeo wa scarlet letter daddy said stay away juliet everything wa begging please go said romeo take somewhere alone waiting there left run prince princess it love story baby say yes romeo save trying tell feel love difficult it real afraid well make mess it love story baby say yes got tired waiting wondering ever coming around faith wa fading met outskirt town said romeo save feeling alone keep waiting never come head know think knelt ground pulled ring said marry juliet never alone love really know talked dad go pick white dress it love story baby say yes cause young first saw,young first saw close eye flashback start standing balcony summer air see light see party ball gown see make way crowd say hello little know romeo throwing pebble daddy said stay away juliet wa cry staircase begging please go said romeo take somewhere alone waiting there left run prince princess it love story baby say yes sneak garden see keep quiet cause dead knew close eye escape town little cause romeo wa scarlet letter daddy said stay away juliet everything wa begging please go said romeo take somewhere alone waiting there left run prince princess it love story baby say yes romeo save trying tell feel love difficult it real afraid well make mess it love story baby say yes got tired waiting wondering ever coming around faith wa fading met outskirt town said romeo save feeling alone keep waiting never come head know think knelt ground pulled ring said marry juliet never alone love really know talked dad go pick white dress it love story baby say yes cause young first saw
18,4,Hey Stephen (Taylor’s Version),Fearless (Taylor’s Version),hey stephen know look deceiving know saw light a walked talking say half thing wanted girl tossing rock window one waiting even it cold hey stephen boy might believing always alone cause help look like angel help wanna kiss rain come feel magic feeling since met help there one else help hey stephen holding back feeling got thing say seen thought never seen nobody shine way way walk way talk way say name it beautiful wonderful ever change hey stephen people always leaving think stay cause help look like angel help wanna kiss rain come feel magic feeling since met help there one else help dimming street light perfect tonight waiting alone come come pull near shine shine shine hey stephen give fifty reason one choose girl well beautiful would write song help look like angel help wanna kiss rain come feel magic feeling since met help there one else help look like angel help wanna kiss rain come feel magic feeling since met help there one else help help help,hey stephen know look deceiving know saw light a walked talking say half thing wanted girl tossing rock window one waiting even it cold hey stephen boy might believing always alone cause help look like angel help wanna kiss rain come feel magic feeling since met help there one else help hey stephen holding back feeling got thing say seen thought never seen nobody shine way way walk way talk way say name it beautiful wonderful ever change hey stephen people always leaving think stay cause help look like angel help wanna kiss rain come feel magic feeling since met help there one else help dimming street light perfect tonight waiting alone come come pull near shine shine shine hey stephen give fifty reason one choose girl well beautiful would write song help look like angel help wanna kiss rain come feel magic feeling since met help there one else help look like angel help wanna kiss rain come feel magic feeling since met help there one else help help help
19,5,White Horse (Taylor’s Version),Fearless (Taylor’s Version),say sorry face angel come need a paced back forth time cause honestly believed holdin day drag stupid girl known known princess fairytale one sweep foot lead stairwell hollywood small town wa dreamer went let it late white horse come around maybe wa naïve got lost eye never really chance mistake know bе love fight uppеr hand many dream happy ending know princess fairytale one sweep foot lead stairwell hollywood small town wa dreamer went let it late white horse come around knee beggin forgiveness beggin like always wanted sorry cause princess fairytale gonna find someone someday might actually treat well big world wa small town rearview mirror disappearing it late white horse it late white horse catch try catch it late catch,say sorry face angel come need a paced back forth time cause honestly believed holdin day drag stupid girl known known princess fairytale one sweep foot lead stairwell hollywood small town wa dreamer went let it late white horse come around maybe wa naïve got lost eye never really chance mistake know bе love fight uppеr hand many dream happy ending know princess fairytale one sweep foot lead stairwell hollywood small town wa dreamer went let it late white horse come around knee beggin forgiveness beggin like always wanted sorry cause princess fairytale gonna find someone someday might actually treat well big world wa small town rearview mirror disappearing it late white horse it late white horse catch try catch it late catch
20,6,You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version),phone girlfriend shes upset shes going something said cause get humor like room it typical tuesday night listening kind music like shell never know story like cause wear short skirt wear tshirts shes cheer captain bleacher dreaming bout day wake find looking ha whole time see onе understands along see bеlong belong walking street wornout jean help thinking ought laughing park bench thinking hey easy got smile light whole town havent seen since brought say fine know better hey whatcha girl like wear high heel wear sneaker shes cheer captain bleacher dreaming day wake find looking ha whole time see one understands along see belong standing waiting back door time know baby belong belong remember driving house middle night one make laugh know bout cry know favorite song tell bout dream think know belong think know it see one understands along see belong standing waiting back door time know baby belong belong belong ever thought maybe belong belong,phone girlfriend shes upset shes going something said cause get humor like room it typical tuesday night listening kind music like shell never know story like cause wear short skirt wear tshirts shes cheer captain bleacher dreaming bout day wake find looking ha whole time see onе understands along see bеlong belong walking street wornout jean help thinking ought laughing park bench thinking hey easy got smile light whole town havent seen since brought say fine know better hey whatcha girl like wear high heel wear sneaker shes cheer captain bleacher dreaming day wake find looking ha whole time see one understands along see belong standing waiting back door time know baby belong belong remember driving house middle night one make laugh know bout cry know favorite song tell bout dream think know belong think know it see one understands along see belong standing waiting back door time know baby belong belong belong ever thought maybe belong belong
21,7,Breathe (Taylor’s Version),Fearless (Taylor’s Version),see face mind a drive away cause none u thought wa gonna end way people people sometimes change mind it killing see go time music start playing like end sad movie it kind ending really wanna see cause it tragedy itll bring know without around know it never simple never easy never clean break one save thing know like back hand breathe without breathe without never wanted never wanna see hurt every little bump road tried swerve people people sometimes work nothin say gonna save u fallout know it never simple never easy never clean break one save thing know like back hand breathe without breathe without it feeling like lost friend hope know it easy easy it feeling like lost friend hope know easy easy know it never simple never easy never clean break one save breathe without breathe without breathe without breathe without sorry sorry sorry sorry sorry sorry sorry,see face mind a drive away cause none u thought wa gonna end way people people sometimes change mind it killing see go time music start playing like end sad movie it kind ending really wanna see cause it tragedy itll bring know without around know it never simple never easy never clean break one save thing know like back hand breathe without breathe without never wanted never wanna see hurt every little bump road tried swerve people people sometimes work nothin say gonna save u fallout know it never simple never easy never clean break one save thing know like back hand breathe without breathe without it feeling like lost friend hope know it easy easy it feeling like lost friend hope know easy easy know it never simple never easy never clean break one save breathe without breathe without breathe without breathe without sorry sorry sorry sorry sorry sorry sorry
22,8,Tell Me Why (Taylor’s Version),Fearless (Taylor’s Version),took chance took shot might think bulletproof took swing took hard ground see sick tired attitude feeling like know tell love cut need like heartbeat know got mean streak make run cover around here temper yes remember said last night know see doin tell well write book ruin someone perfеct day well get confused frustratеd forget tryin say sick tired reason got one believe tell want push around need like heartbeat know got mean streak make run cover around here temper yes remember said last night know see doin tell make feel small feel whole inside put dream thing mind sick tired attitude feeling like know tell want cut sick tired reason got one believe ask love push around here temper yes remember said last night know see doin tell tell take step back let go told bulletproof know,took chance took shot might think bulletproof took swing took hard ground see sick tired attitude feeling like know tell love cut need like heartbeat know got mean streak make run cover around here temper yes remember said last night know see doin tell well write book ruin someone perfеct day well get confused frustratеd forget tryin say sick tired reason got one believe tell want push around need like heartbeat know got mean streak make run cover around here temper yes remember said last night know see doin tell make feel small feel whole inside put dream thing mind sick tired attitude feeling like know tell want cut sick tired reason got one believe ask love push around here temper yes remember said last night know see doin tell tell take step back let go told bulletproof know
23,9,You’re Not Sorry (Taylor’s Version),Fearless (Taylor’s Version),time wa wasting hoping would come around giving chance every time let it taken long baby figured thinking well fine time around call anymore pick phone last straw wanna hurt anymore tell sorry believe baby like sorry looking innocent might believe know loved life lеft waiting cold got sharе secret tired last know asking listen cause it worked time call anymore pick phone last straw wanna hurt anymore tell sorry believe baby like sorry sorry crawling honey never gone away used shine bright watched fade call anymore pick phone last straw there nothing left beg tell sorry believe baby like sorry sorry woah,time wa wasting hoping would come around giving chance every time let it taken long baby figured thinking well fine time around call anymore pick phone last straw wanna hurt anymore tell sorry believe baby like sorry looking innocent might believe know loved life lеft waiting cold got sharе secret tired last know asking listen cause it worked time call anymore pick phone last straw wanna hurt anymore tell sorry believe baby like sorry sorry crawling honey never gone away used shine bright watched fade call anymore pick phone last straw there nothing left beg tell sorry believe baby like sorry sorry woah
24,10,The Way I Loved You (Taylor’s Version),Fearless (Taylor’s Version),sensible incredible single friend jealous say everything need hear it like ask anything better open door get car say look beautiful tonight feel perfectly fine miss screaming fighting kissing rain it cursing name love act insane way loved breaking coming undone it rollercoaster kind rush never knew feel much way loved respect space never make wait call exactly say he close mother talk business father he charming endearing comfortable miss screaming fighting kissing rain it cursing name love acted insane way loved breaking coming undone it rollercoaster kind rush never knew feel much way loved see smile faking heart breaking cause feeling anything wild crazy frustrating intoxicating complicated got away mistake miss screaming fighting kissing rain it cursing name love acted insane way loved breaking coming undone it rollercoaster kind rush never knew feel much way loved way loved never knew feel much way loved,sensible incredible single friend jealous say everything need hear it like ask anything better open door get car say look beautiful tonight feel perfectly fine miss screaming fighting kissing rain it cursing name love act insane way loved breaking coming undone it rollercoaster kind rush never knew feel much way loved respect space never make wait call exactly say he close mother talk business father he charming endearing comfortable miss screaming fighting kissing rain it cursing name love acted insane way loved breaking coming undone it rollercoaster kind rush never knew feel much way loved see smile faking heart breaking cause feeling anything wild crazy frustrating intoxicating complicated got away mistake miss screaming fighting kissing rain it cursing name love acted insane way loved breaking coming undone it rollercoaster kind rush never knew feel much way loved way loved never knew feel much way loved
25,11,Forever & Always (Taylor’s Version),Fearless (Taylor’s Version),upon time believe wa tuesday caught eye caught onto something hold onto night looked eye told loved kidding cause seems thing breaking almost never speak feel welcome anymore baby happened please tell cause one second wa perfect halfway door stare phone still called feel low feel nothing flashback said forever always rain bedroom everything wrong rain rain gone cause wa said forever always wa line say something way honest made run hide like scared little boy looked eye thought knew minute sure here everything coming nothing here silence cut core going thought knew minute anymore stare phone still called feel low feel nothing flashback said forever always rain bedroom everything wrong rain rain gone cause wa said forever always mean baby think back baby back forget everything back baby back forget everything cause rain bedroom everything wrong rain rain gone cause wa said forever always stare phone still called feel low feel nothing flashback said forever always rain bedroom everything wrong rain rain gone cause wa said forever always mean baby said forever always,upon time believe wa tuesday caught eye caught onto something hold onto night looked eye told loved kidding cause seems thing breaking almost never speak feel welcome anymore baby happened please tell cause one second wa perfect halfway door stare phone still called feel low feel nothing flashback said forever always rain bedroom everything wrong rain rain gone cause wa said forever always wa line say something way honest made run hide like scared little boy looked eye thought knew minute sure here everything coming nothing here silence cut core going thought knew minute anymore stare phone still called feel low feel nothing flashback said forever always rain bedroom everything wrong rain rain gone cause wa said forever always mean baby think back baby back forget everything back baby back forget everything cause rain bedroom everything wrong rain rain gone cause wa said forever always stare phone still called feel low feel nothing flashback said forever always rain bedroom everything wrong rain rain gone cause wa said forever always mean baby said forever always
